"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7)","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Fast Stream (HEOD)","28000","35000","Policy Manager","1.00","Policy","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG280","Grade 7 (G7)","53132","62477","Human Resources Advisor","1.00","Human Resources","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Senior Executive Officer (SEO)","39598","46117","Human Resources Manager","1.00","Human Resources","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","0.58","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO) - London","26871","26871","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Administrative Officer (AO) - London","26871","26871","Human Resources Support Officer","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Administrative Officer (AO) - London","26871","26871","Human Resources Support Officer","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG281","Administrative Officer (AO) - London","26871","26871","Human Resources Support Officer","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG397","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG397","Executive Officer (EO) - London","27854","32525","Policy Support Officer","0.81","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG397","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG397","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Executive Officer (EO) - London","27854","32525","Policy Support Officer","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Executive Officer (EO) - London","27854","32525","Policy Support Officer","0.92","Policy","London"
