"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.38","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Executive Officer (EO) - London","28412","34672","Communications Support Officer","0.39","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Administrative Officer (AO) - London","26871","26871","Operational Delivery Support Officer","0.40","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG462","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Grade 7 (G7) - London","54632","63977","Operational Delivery Advisor","0.40","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG345","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.40","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.40","Operational Delivery","North East"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Executive Officer (EO)","25324","30045","Policy Support Officer","0.41","Policy","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.41","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.41","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.43","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Executive Officer (EO)","25324","30045","Operational Delivery Support Officer","0.43","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG404","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.49","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG487","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.50","Policy","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 7 (G7) - London","54632","63977","Knowledge & Information Management (KIM) Advisor","0.50","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33875","39400","Digital Data and Technology Manager","0.50","Digital Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG575","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.50","Policy","London"
