"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 6 (G6) - London","57446","68460","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 6 (G6) - London","57446","68460","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 6 (G6)","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 7 (G7)","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Grade 7 (G7)","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Higher Executive Officer (HEO)","30188","34826","Operational Delivery Manager","1.00","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Senior Executive Officer (SEO)","39598","46117","Operational Delivery Manager","1.00","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG224","Senior Executive Officer (SEO)","39598","46117","Operational Delivery Manager","1.00","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7) - London","48197","57362","Policy Advisor","0.97","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Senior Executive Officer (SEO) - London","36337","42899","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Senior Executive Officer (SEO) - London","39598","46117","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Govnmnt Resilience and Communities","CLG224","Senior Executive Officer (SEO) - London","36337","42899","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 6 (G6)","57446","68460","Project Delivery Advisor","1.00","Project Delivery","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7)","48197","57362","Project Delivery Advisor","0.80","Project Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7)","53132","62477","Project Delivery Advisor","1.00","Project Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Grade 7 (G7)","53132","62477","Project Delivery Advisor","1.00","Project Delivery","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG224","Senior Executive Officer (SEO) - London","39598","46117","Project Delivery Manager","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Executive Officer (EO) - London","27854","32525","Operational Delivery Support Officer","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO)","33210","38300","Planning Manager","1.00","Planning","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Stronger Places","CLG231","Executive Officer (EO)","27854","32525","Policy Support Officer","1.00","Policy","Devolved Nations"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Executive Officer (EO)","27854","32525","Policy Support Officer","1.00","Policy","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 6 (G6)","63465","74766","Policy Advisor","0.91","Policy","East of England"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 6 (G6)","63465","74766","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7)","48197","57362","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","South West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO)","33210","38300","Policy Manager","1.00","Policy","East Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO) - London","30188","34826","Policy Manager","0.92","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO) - London","30188","34826","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Safer and Greener Buildings","CLG231","Senior Executive Officer (SEO)","39598","46117","Policy Manager","1.00","Policy","North West"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG236","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Housing and Planning","CLG236","Higher Executive Officer (HEO) - London","33210","38300","Planning Manager","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Executive Officer (EO) - London","27854","32525","Policy Support Officer","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 6 (G6) - London","57446","68460","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","East Midlands"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7)","53132","62477","Policy Advisor","1.00","Policy","East of England"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","48197","57362","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities","Local Government Strategy and Analysis","CLG237","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
