"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 1 (London)","63960","71310","District Crown Prosecutor","1.68","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","11.05","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level A2 (Nat)","18736","21950","Administrative Officer","10.15","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Lon)","26970","30110","Charging Workflow Manager","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Business Centre Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Charging Workflow Manager","6.42","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Learning Operations Manager","0.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Workforce Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Area Finance Manager","0.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Area Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","0.69","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","HR Advisory Manager","0.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Workforce Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B3 (Nat)","38180","43390","Area Communication Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B3 (Nat)","38180","43390","Inclusion and Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Lon)","50519","62590","District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Lon)","50519","62590","Duty Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","27.71","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Nat)","48077","55610","Duty Prosecutor","4.11","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Nat)","48077","55610","Duty Prosecutor","4.90","Law"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","90.51","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","13.03","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","B1 Solicitor Apprentice (Nat)","25480","28430","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate (Nat)","51940","59930","Crown Advocate","7.21","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.43","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","10.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","18.38","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A1 (Nat)","18900","18900","Casework Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Business Centre Support Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Casework Assistant","55.82","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Fees Clerk","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Victim Liaison Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Witness Care Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 Apprentice (Nat)","16767","18900","Business Centre Support Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Business Support Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Case Progression Manager","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Casework Administration Manager","8.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Court Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
