"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20980","24480","Administrative Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20980","24480","Fees Clerk","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 (Lon)","20980","24480","Fees Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level A2 Apprentice (Lon)","20980","24480","Administrative Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","28200","30560","Finance Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","28200","30560","HR Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Lon)","28200","30560","Performance Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Nat)","26900","28850","Finance Officer","<5","Government Legal Profession","Yorkshire and Humber"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B1 (Nat)","26900","28850","HR Manager","<5","Government Legal Profession","West Midlands"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","32660","35550","Change Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","32660","35550","Facilities, Estates and Security Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","32660","35550","HR Advisory Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Lon)","32660","35550","Performance Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","31180","33810","Facilities, Estates and Security Manager","<5","Government Legal Profession","North West"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","31180","33810","Finance Manager","<5","Government Legal Profession","Yorkshire and Humber"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B2 (Nat)","31180","33810","HR Advisory Manager","<5","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level B3 (Lon)","40540","46200","Inclusion & Community Engagement Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","Level D Admin (Lon)","55850","66000","Head of Business Centre","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CENTRAL CASEWORK BUS CENTRE","CPS-G-021","RCPO - Admin Officer","20275","23381","Fees Clerk","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level A1 (Lon)","21050","21050","Administrative Assistant","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level A2 (Lon)","20980","24480","Administrative Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level A2 Apprentice (Nat)","19560","22870","Administrative Officer","<5","Government Legal Profession","North West"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B1 (Lon)","28200","30560","Communications Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B1 (Nat)","26900","28850","Communications Officer","<5","Government Legal Profession","South West"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","32660","35550","Communications Officer","6","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","32660","35550","Press Officer","6","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","32660","35550","Web Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Nat)","31180","33810","Communications Officer","<5","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Nat)","31180","33810","Communications Officer","<5","Government Legal Profession","Yorkshire and Humber"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Lon)","40540","46200","Communications Manager","5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Lon)","40540","46200","Senior Press Officer","5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Nat)","38940","44050","Communications Manager","<5","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Nat)","38940","44050","Communications Manager","<5","Government Legal Profession","South West"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","55850","66000","Business Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","55850","66000","Chief Press Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","55850","66000","Communications Manager","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Nat)","51870","60550","Communications Manager","<5","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level E Admin (Lon)","71400","80600","Chief Press Officer","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level E Admin (Lon)","71400","80600","Head of Unit","<5","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Associate Prosecutor (Nat)","31550","35000","Associate Prosecutor","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Associate Prosecutor 2 (Nat)","34980","38350","Associate Prosecutor 2","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Advocate (Nat)","52980","60800","Crown Advocate","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Advocate ABP (Nat)","62030","65450","Crown Advocate","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Prosecutor (Lon)","40800","45330","Crown Prosecutor","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Prosecutor (Nat)","38760","43250","Crown Prosecutor","17.03","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Legal Manager 1 (National)","59200","68000","District Crown Prosecutor","17.08","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Legal Manager 2 (National)","68670","78450","Senior District Crown Prosecutor","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","19560","22870","Business Centre Administrator","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","19560","22870","Business Support Officer","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","19560","22870","Casework Assistant","45.86","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","19560","22870","Fees Clerk","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 Apprentice (Nat)","19560","22870","Casework Assistant","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","26900","28850","Business Centre Support Manager","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","26900","28850","Case Progression Manager","5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","26900","28850","Casework Administration Manager","6.57","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","26900","28850","Complaints Co-ordinator","<5","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","26900","28850","Court Manager","<5","Government Legal Profession","Wales"
