"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 1 (London)","63960","71310","District Crown Prosecutor","3.68","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","11.05","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 2 (London)","70890","79430","Senior District Crown Prosecutor","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","2.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level A2 (Nat)","18736","21950","Administrative Officer","10.02","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","5.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Lon)","26970","30110","Charging Workflow Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Business Support Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Charging Workflow Manager","6.42","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Learning and Development Team Leader","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B1 (Nat)","25480","28430","Workforce Officer","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Lon)","31560","35020","HR Advisory Manager","0.86","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Area Finance Manager","0.86","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Area Performance Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","0.73","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B2 (Nat)","30130","33310","Workforce Officer","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B3 (Nat)","38180","43390","Area Communication Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","27.76","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","CPS DIRECT","CPS-G-030","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","105.92","Government Legal Profession","North East"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","10.73","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","B1 Solicitor Apprentice (Nat)","25480","28430","Paralegal Officer","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate (Nat)","51940","59930","Crown Advocate","8.21","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.17","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","13.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 1 (National)","58040","66990","Legal Manager","20.38","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 2 (National)","67320","77300","Senior Legal Manager","2.81","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A1 (Nat)","18900","18900","Casework Assistant","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Business Centre Administrator","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Casework Administration Assistant","56.74","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Fees Clerk","3.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Learning Operations Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Victim Liaison Officer","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Witness Care Officer","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 Apprentice (Nat)","16767","18900","Casework Administration Assistant","7.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Business Centre Support Manager","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Case Progression Manager","4.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Casework Administration Manager","8.42","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Court Manager","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Legal Trainee","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Paralegal Officer","13.17","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Senior Personal Assistant","2.65","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Victim Liaison Officer","2.77","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","7.86","Government Legal Profession","East Midlands"
